dc,dinve ,dy ,labobs,pinfobs,dw,robs
1.521347604,2.546647022,1.67919147,0.669610768,0.314586993,0.404286449,0.565
0.888222334,1.375137707,1.685748842,0.271319331,0.514261515,1.059375019,0.5375
1.074571314,2.384451271,0.563206038,1.249220139,0.164948491,0.500172867,0.695
0.508228205,0.213913477,0.865776056,1.237584741,0.205803736,0.504612413,0.6775
0.900787415,-1.210496787,-0.27582945,0.817756766,0.205381054,0.69714099,0.725
0.044350795,0.380116319,0.584666121,0.477005182,0.438686984,0.553299596,0.73
0.492802802,3.607273665,0.686212935,1.744671494,0.174937359,0.335577911,0.725
1.256471907,1.556190421,1.737001345,1.100904635,0.133911697,0.879365972,0.755
-0.00645209,2.005805472,0.251890094,1.218596325,0.805497937,0.328233402,0.875
1.654603571,2.349249694,1.643466159,2.429851695,0.316939211,-0.459440126,0.87
1.370614314,0.072905743,0.712058492,3.182563684,0.229871948,0.869235022,0.8675
1.320803876,0.91805659,1.109327978,3.695343942,0.395291397,0.912527337,0.855
-0.275652965,0.972590796,-0.124968222,3.72139457,0.456361317,0.271839323,0.84
1.597793665,3.543026266,1.961037387,4.551886488,0.499603628,-0.097327354,0.975
0.738915885,2.125160463,0.85189303,4.380562161,0.457666703,0.216814277,1.0225
1.357565997,2.160209686,1.868107617,4.27332637,0.388218903,0.654519776,1.0225
2.023913005,2.351034068,1.907258743,4.688948465,0.682749308,0.783503386,1.02
1.316180247,2.323219719,2.129170155,4.995138813,0.644876596,1.07360588,1.105
-0.016586104,-0.430227518,0.06665833,4.714363481,0.811285114,0.759966803,1.1675
0.65472293,-1.123004919,0.563482898,4.918107174,0.962755645,0.457070715,1.325
0.043773584,-2.667909977,0.511521158,4.861603913,0.834874198,0.512798337,1.3825
0.127628319,-2.26649884,0.559202722,3.540029512,0.414837758,0.925233197,1.235
0.985996038,2.067133768,-0.275600237,3.702694049,0.509452771,1.107777973,1.0125
0.035816256,0.43038008,0.498877183,3.8577753,0.952920517,0.388433869,0.9475
-0.152267277,2.52593703,0.241398656,3.481247492,1.106497405,0.246757077,0.97
1.918604517,1.766942908,1.613933926,3.494361169,1.099570734,1.553208191,1.1525
1.138054066,-0.686460459,1.321205996,4.272576544,1.051718721,0.56175845,1.44
1.532461487,0.790972337,0.392613815,4.443482055,0.974771045,0.641046167,1.5075
-0.276157973,2.63221985,-0.033643191,4.155383168,1.402009954,0.572588249,1.4775
0.512266191,2.335944379,1.021295758,3.978935367,1.026365445,0.325803621,1.575
0.2741264,-0.034950351,-0.068548817,3.656029355,1.265870863,0.34360594,1.8525
-0.132121848,0.502902076,0.216192041,2.747148511,1.394953238,0.372203391,2.1525
0.22161522,-2.674718181,-0.932795103,1.856297648,1.280500915,0.635663357,2.25
